time_s,x1_km,y1_km,z1_km,x2_km,y2_km,z2_km,distance_km
0.000000,7000.000000,0.000000,0.000000,7000.000000,10.000000,0.000000,10.000000
7.207207,6999.788727,54.385038,0.000000,6999.788728,9.999698,54.385038,70.198225
14.414414,6999.154922,108.766794,0.000000,6999.154924,9.998793,108.766794,146.919480
21.621622,6998.098622,163.141984,0.000000,6998.098627,9.997284,163.141984,223.760153
28.828829,6996.619891,217.507326,0.000000,6996.619901,9.995171,217.507326,300.617251
36.036036,6994.718818,271.859539,0.000000,6994.718834,9.992455,271.859539,377.467851
43.243243,6992.395519,326.195341,0.000000,6992.395542,9.989136,326.195341,454.301403
50.450450,6989.650133,380.511453,0.000000,6989.650165,9.985215,380.511453,531.110779
57.657658,6986.482827,434.804596,0.000000,6986.482868,9.980690,434.804596,607.890112
64.864865,6982.893791,489.071492,0.000000,6982.893843,9.975563,489.071493,684.634088
72.072072,6978.883242,543.308866,0.000000,6978.883306,9.969833,543.308868,761.337672
79.279279,6974.451422,597.513445,0.000000,6974.451500,9.963502,597.513447,837.995975
86.486486,6969.598598,651.681954,0.000000,6969.598691,9.956570,651.681957,914.604200
93.693694,6964.325064,705.811126,0.000000,6964.325173,9.949036,705.811130,991.157606
100.900901,6958.631138,759.897693,0.000000,6958.631265,9.940902,759.897698,1067.651488
108.108108,6952.517163,813.938390,0.000000,6952.517309,9.932168,813.938396,1144.081167
115.315315,6945.983509,867.929954,0.000000,6945.983675,9.922834,867.929961,1220.441984
122.522523,6939.030570,921.869127,0.000000,6939.030757,9.912901,921.869135,1296.729294
129.729730,6931.658766,975.752652,0.000000,6931.658975,9.902370,975.752662,1372.938464
136.936937,6923.868541,1029.577278,0.000000,6923.868774,9.891241,1029.577289,1449.064873
144.144144,6915.660366,1083.339754,0.000000,6915.660624,9.879515,1083.339767,1525.103910
151.351351,6907.034736,1137.036836,0.000000,6907.035021,9.867193,1137.036852,1601.050970
158.558559,6897.992172,1190.665283,0.000000,6897.992485,9.854275,1190.665301,1676.901456
165.765766,6888.533220,1244.221856,0.000000,6888.533562,9.840762,1244.221876,1752.650782
172.972973,6878.658451,1297.703323,0.000000,6878.658823,9.826655,1297.703346,1828.294365
180.180180,6868.368461,1351.106456,0.000000,6868.368864,9.811956,1351.106482,1903.827635
187.387387,6857.663870,1404.428032,0.000000,6857.664306,9.796663,1404.428061,1979.246026
194.594595,6846.545325,1457.664831,0.000000,6846.545795,9.780780,1457.664864,2054.544982
201.801802,6835.013498,1510.813640,0.000000,6835.014003,9.764306,1510.813677,2129.719952
209.009009,6823.069084,1563.871251,0.000000,6823.069625,9.747242,1563.871292,2204.766394
216.216216,6810.712804,1616.834460,0.000000,6810.713383,9.729591,1616.834506,2279.679776
223.423423,6797.945404,1669.700072,0.000000,6797.946022,9.711351,1669.700122,2354.455573
230.630631,6784.767655,1722.464894,0.000000,6784.768313,9.692526,1722.464949,2429.089270
237.837838,6771.180351,1775.125741,0.000000,6771.181052,9.673116,1775.125802,2503.576359
245.045045,6757.184314,1827.679436,0.000000,6757.185058,9.653122,1827.679502,2577.912342
252.252252,6742.780389,1880.122806,0.000000,6742.781176,9.632545,1880.122878,2652.092731
259.459459,6727.969443,1932.452683,0.000000,6727.970276,9.611386,1932.452762,2726.113044
